customer_id,name,governorate,contract_type,tenure_months,consumption_kwh,monthly_charges,payment_arrears,complaints_count,meter_reading_issues,fraud_flag
EGY00000001,كريم المصري,السويس,سكني,17,85.25,75.64,11,5,0,1
EGY00000002,كريم حسن,المنوفية,سكني,1,245.84,118.52,6,0,1,1
EGY00000003,أمل علي,الإسماعيلية,تجاري,6,559.25,732.24,0,0,0,0
EGY00000004,محمد علي,البحر الأحمر,سكني,33,444.59,137.55,0,5,0,1
EGY00000005,دينا محمد,البحيرة,سكني,10,346.81,147.28,0,4,0,1
EGY00000006,محمود فهمي,أسوان,سكني,27,263.36,124.17,0,0,2,1
EGY00000007,رنا المصري,أسيوط,سكني,31,344.29,149.85,0,5,0,1
EGY00000008,وليد عبدالرحمن,جنوب سيناء,صناعي,6,3005.53,2876.38,1,0,0,0
EGY00000009,عمر إبراهيم,دمياط,سكني,8,426.99,135.78,3,5,2,1
EGY00000010,فاطمة حسن,البحيرة,حكومي,14,5833.1,4754.39,0,6,1,0
EGY00000011,عائشة فؤاد,الإسكندرية,سكني,47,199.8,185.02,0,0,0,0
EGY00000012,أحمد صالح,بورسعيد,سكني,9,324.36,263.67,1,0,0,0
EGY00000013,ماجد حسين,أسوان,سكني,51,508.12,265.2,0,0,0,1
EGY00000014,رامي الجمال,الإسكندرية,سكني,59,240.64,117.78,0,3,0,1
EGY00000015,سامي علي,بني سويف,سكني,1,536.35,424.02,0,0,0,0
EGY00000016,وليد سالم,الجيزة,تجاري,12,1028.82,1259.78,0,0,0,0
EGY00000017,شريف حسن,الإسكندرية,صناعي,11,465.18,510.69,0,3,0,0
EGY00000018,محمود فؤاد,المنيا,سكني,26,577.84,431.42,0,0,3,0
EGY00000019,عبدالله المصري,الدقهلية,سكني,29,822.83,592.46,0,0,0,0
EGY00000020,محمود علي,دمياط,حكومي,120,4205.3,3452.91,0,1,0,0
EGY00000021,أمل الشريف,بورسعيد,سكني,15,396.83,208.0,0,3,0,1
EGY00000022,عمر فهمي,الدقهلية,سكني,41,153.1,76.92,2,6,0,1
EGY00000023,رامي أحمد,المنوفية,تجاري,120,947.79,639.1,5,3,0,1
EGY00000024,هشام عثمان,المنوفية,تجاري,79,956.25,1242.71,1,0,4,0
EGY00000025,عبدالله البدوي,المنيا,سكني,120,995.01,680.83,0,0,0,0
EGY00000026,محمود خليل,دمياط,سكني,1,748.85,531.39,0,0,0,0
EGY00000027,محمود صالح,المنيا,صناعي,29,3991.67,3883.45,0,6,0,0
EGY00000028,يوسف فهمي,الشرقية,سكني,36,288.25,124.26,1,0,0,1
EGY00000029,رنا عباس,أسوان,سكني,8,485.37,412.82,5,4,0,0
EGY00000030,يوسف إبراهيم,البحر الأحمر,سكني,120,435.42,334.6,5,0,0,0
EGY00000031,وليد أحمد,الأقصر,سكني,67,127.75,84.34,8,0,0,1
EGY00000032,خالد عباس,القليوبية,سكني,6,211.03,92.72,7,0,3,1
EGY00000033,مريم الجمال,بورسعيد,سكني,8,124.86,147.47,0,0,0,0
EGY00000034,أمل محمد,سوهاج,سكني,21,855.04,644.61,0,0,0,0
EGY00000035,طارق فهمي,الإسماعيلية,تجاري,11,2004.1,2446.64,0,0,0,0
EGY00000036,محمود عثمان,شمال سيناء,سكني,120,224.52,176.56,0,4,0,0
EGY00000037,خالد صالح,القليوبية,سكني,120,72.31,81.51,3,3,0,1
EGY00000038,عادل المصري,القاهرة,حكومي,19,4316.12,3525.71,0,0,0,0
EGY00000039,هدى حسن,الأقصر,تجاري,12,669.78,852.22,7,5,0,0
EGY00000040,محمود نصر,السويس,سكني,52,444.61,148.95,0,0,0,1
EGY00000041,عائشة عبدالرحمن,بورسعيد,سكني,25,654.27,496.08,0,0,0,0
EGY00000042,ماجد نصر,أسوان,حكومي,2,4135.39,3377.58,0,2,0,0
EGY00000043,سارة محمد,القاهرة,سكني,104,512.43,396.73,11,4,0,0
EGY00000044,عادل سالم,القليوبية,صناعي,103,2224.43,2163.39,0,2,0,0
EGY00000045,عادل البدوي,المنوفية,سكني,2,713.45,510.99,0,0,0,0
EGY00000046,سارة علي,الإسكندرية,سكني,11,761.56,579.3,0,2,0,0
EGY00000047,إبراهيم إبراهيم,شمال سيناء,سكني,12,154.11,107.77,0,3,4,1
EGY00000048,أمل عبدالرحمن,الإسماعيلية,سكني,10,554.73,446.69,0,3,0,0
EGY00000049,دينا عباس,الغربية,سكني,14,226.63,139.21,1,0,3,1
EGY00000050,وليد السيد,البحيرة,صناعي,36,7548.51,7254.41,0,0,0,0
EGY00000051,طارق فؤاد,دمياط,سكني,57,497.38,414.31,0,0,0,0
EGY00000052,نور حسن,سوهاج,صناعي,16,8400.96,8035.0,0,0,4,0
EGY00000053,فاطمة محمد,المنوفية,سكني,10,407.32,202.43,0,2,0,1
EGY00000054,رنا الشريف,البحر الأحمر,سكني,106,440.19,362.53,4,0,0,0
EGY00000055,محمود أحمد,القاهرة,سكني,11,614.33,478.59,0,0,0,0
EGY00000056,أحمد عثمان,المنوفية,سكني,53,172.16,92.47,7,5,0,1
EGY00000057,عمر خليل,الإسكندرية,سكني,59,353.57,171.74,5,0,4,1
EGY00000058,كريم البدوي,البحيرة,سكني,43,923.73,697.12,0,6,0,0
EGY00000059,هشام خليل,البحر الأحمر,سكني,3,682.16,494.47,0,0,0,0
EGY00000060,حسن حسن,جنوب سيناء,سكني,10,129.08,126.29,0,0,0,0
EGY00000061,زينب عباس,الإسماعيلية,سكني,20,402.25,221.61,0,0,0,1
EGY00000062,أحمد حسن,سوهاج,صناعي,4,8124.48,7817.24,11,0,0,0
EGY00000063,فاطمة حسن,الجيزة,سكني,6,157.16,125.1,0,0,3,0
EGY00000064,أمل صالح,المنوفية,سكني,6,774.92,596.75,0,0,0,0
